train,eval,render,save_video,sleep,eval_episodes,env,td3,num_episode,start_training_steps,writer_freq,subgoal_dim,load_episode,model_save_freq,print_freq,exp_name,model_path,log_path,policy_freq_low,policy_freq_high,buffer_size,batch_size,buffer_freq,train_freq,reward_scaling,date
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_150735
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_150916
True,False,False,False,-1,5,AntMaze,True,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_150932
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_151033
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_151104
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_151608
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_151637
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210428_151754
True,False,False,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_153901
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_154146
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_160546
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_160835
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210504_164400
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_085350
True,False,True,False,-1,5,AntMaze,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092007
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092310
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092335
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092802
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092836
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092932
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_092955
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_093013
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_093030
True,False,True,False,-1,5,AntPush,False,25000,2500,25,15,-1,2000,250,,model,log,2,2,200000,100,10,10,0.1,20210520_093125
